City,Cloudiness,Country_code,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
San Francisco,90,US,1554431172,87,37.78,-122.42,15.56,6.2
Nicoya,0,CR,1554430574,54,10.15,-85.45,29.0,8.2
Lyaskelya,64,RU,1554431259,73,61.77,31.02,-5.75,1.31
Santiago del Estero,92,AR,1554430960,75,-27.8,-64.26,17.85,3.71
Baruun-Urt,56,MN,1554431260,27,46.68,113.28,2.5,2.41
Karlskrona,0,SE,1554429000,75,56.16,15.59,5.0,2.6
Wainwright,20,CA,1554431260,76,52.84,-110.86,0.35,2.71
Cidreira,92,BR,1554430996,100,-30.17,-50.22,21.8,4.46
Katobu,0,ID,1554431261,86,-4.94,122.53,30.1,1.21
Riohacha,56,CO,1554431261,83,11.54,-72.91,26.75,6.96
Kindu,92,CD,1554431261,100,-2.95,25.92,21.6,0.86
Canton,75,US,1554431161,52,40.8,-81.38,8.33,8.7
Quelimane,75,MZ,1554429600,94,-17.88,36.89,25.0,1.21
Hauterive,0,FR,1554430515,69,46.09,3.45,1.0,0.5
Hoima,20,UG,1554431262,94,1.43,31.35,17.95,1.21
Farah,0,AF,1554431263,76,32.37,62.11,16.45,1.16
Perumpavur,40,IN,1554429600,88,10.13,76.48,27.0,2.6
Hokitika,92,NZ,1554431137,91,-42.72,170.96,14.35,6.96
Witu,40,KE,1554429360,83,-2.39,40.44,28.0,1.31
Bathsheba,20,BB,1554426000,78,13.22,-59.52,25.0,7.2
Fuyang,0,CN,1554431264,59,32.89,115.81,23.0,6.01
Turayf,75,SA,1554429600,93,31.68,38.65,11.0,5.1
Hami,76,CN,1554431264,39,42.84,93.51,17.3,2.21
Oga,0,NG,1554430998,68,8.18,5.65,26.85,6.41
Talnakh,88,RU,1554431044,98,69.49,88.39,-6.05,3.66
Berlevag,76,NO,1554431265,100,70.86,29.09,-2.55,2.66
Scarborough,8,GB,1554431239,93,54.28,-0.41,7.78,3.6
Shaunavon,64,CA,1554431265,37,49.65,-108.41,11.15,3.11
Sinnamary,100,GF,1554431265,95,5.38,-52.96,26.65,4.91
Copperas Cove,1,US,1554430981,37,31.12,-97.9,24.0,3.21
Nouadhibou,0,MR,1554426000,72,20.93,-17.03,18.0,7.2
Aranos,0,NA,1554431266,32,-24.14,19.11,15.45,5.26
Kieta,64,PG,1554431266,98,-6.22,155.63,27.5,1.66
